episode,reward,loss,energy_saving,latency,sla_violations,active_links
0,136.3799999999999,0.0,0.8991000000000022,90.5,362,0.0
1,128.94000000000003,0.07274950636550784,0.8991000000000022,106.0,424,0.0
2,123.77999999999996,0.06875724568963051,0.8991000000000022,116.75,467,0.0
3,128.45999999999998,0.06713825391605496,0.8991000000000022,107.0,428,0.0
4,122.7,0.06387888356111944,0.8991000000000022,119.0,476,0.0
5,127.61999999999999,0.06037452513352037,0.8991000000000022,108.75,435,0.0
6,132.53999999999988,0.060677061639726165,0.8991000000000022,98.5,394,0.0
7,129.78,0.05961634845007211,0.8991000000000022,104.25,417,0.0
8,132.77999999999994,0.06494264925830066,0.8991000000000022,98.0,392,0.0
9,136.97999999999996,0.06591916247271001,0.8991000000000022,89.25,357,0.0
10,139.62,0.07228118768893182,0.8991000000000022,83.75,335,0.0
11,128.21999999999994,0.07770607917569577,0.8991000000000022,107.5,430,0.0
12,126.77999999999994,0.07757495922967791,0.8991000000000022,110.5,442,0.0
13,125.22000000000003,0.08022297542542219,0.8991000000000022,113.75,455,0.0
14,133.61999999999998,0.08143898736685515,0.8991000000000022,96.25,385,0.0
15,131.33999999999997,0.08435352782718837,0.8991000000000022,101.0,404,0.0
16,126.05999999999996,0.07619663890451193,0.8991000000000022,112.0,448,0.0
17,124.97999999999998,0.08198404722847044,0.8991000000000022,114.25,457,0.0
18,135.05999999999997,0.08451705630868674,0.8991000000000022,93.25,373,0.0
19,125.81999999999992,0.08966658276505768,0.8991000000000022,112.5,450,0.0
20,135.89999999999984,0.09001732083968818,0.8991000000000022,91.5,366,0.0
21,135.42,0.09614904101006687,0.8991000000000022,92.5,370,0.0
22,129.65999999999997,0.10061026873067021,0.8991000000000022,104.5,418,0.0
23,129.66000000000008,0.09880785275250674,0.8991000000000022,104.5,418,0.0
24,127.50000000000001,0.09168664447963237,0.8991000000000022,109.0,436,0.0
25,130.62,0.09038505655713379,0.8991000000000022,102.5,410,0.0
26,124.86000000000001,0.10014171554706991,0.8991000000000022,114.5,458,0.0
27,126.78000000000002,0.10115993325598538,0.8991000000000022,110.5,442,0.0
28,124.49999999999999,0.10213659824803471,0.8991000000000022,115.25,461,0.0
29,122.33999999999999,0.1024648349173367,0.8991000000000022,119.75,479,0.0
30,133.37999999999988,0.09500183947384358,0.8991000000000022,96.75,387,0.0
31,133.97999999999988,0.10030670224688948,0.8991000000000022,95.5,382,0.0
32,129.29999999999998,0.10279890048317611,0.8991000000000022,105.25,421,0.0
33,129.17999999999992,0.10648393390700221,0.8991000000000022,105.5,422,0.0
34,129.05999999999997,0.10541805740445852,0.8991000000000022,105.75,423,0.0
35,118.74,0.10806613623164595,0.8991000000000022,127.25,509,0.0
36,129.2999999999999,0.10667634942568839,0.8991000000000022,105.25,421,0.0
37,123.3,0.09452658994123339,0.8991000000000022,117.75,471,0.0
38,119.4600000000001,0.08842365839518607,0.8991000000000022,125.75,503,0.0
39,126.89999999999999,0.10748440369032324,0.8991000000000022,110.25,441,0.0
40,132.54000000000002,0.09685990019701421,0.8991000000000022,98.5,394,0.0
41,131.82000000000008,0.0952852588519454,0.8991000000000022,100.0,400,0.0
42,124.62000000000008,0.10098545907996595,0.8991000000000022,115.0,460,0.0
43,137.09999999999994,0.11206636666320265,0.8991000000000022,89.0,356,0.0
44,127.98,0.10319760404527187,0.8991000000000022,108.0,432,0.0
45,129.17999999999998,0.1111437078565359,0.8991000000000022,105.5,422,0.0
46,128.46000000000006,0.10706533828750253,0.8991000000000022,107.0,428,0.0
47,126.77999999999993,0.10375738007947803,0.8991000000000022,110.5,442,0.0
48,122.94,0.10700339267961681,0.8991000000000022,118.5,474,0.0
49,124.13999999999999,0.12081014681607485,0.8991000000000022,116.0,464,0.0
