episode,reward,loss,energy_saving,latency,sla_violations,active_links,cluster_count,computation_time
1,-150587.17790185014,0.0,0.8251604999999997,22.55750522323141,46.18834080717489,155,2,75.49463987350464
2,-212155.65641912498,656.7356681034482,0.8242514999999999,22.370696648675285,53.21888412017167,154,2,74.35613751411438
3,-167130.90991462534,482.42115158081054,0.8253202500000001,22.55443365893942,48.888888888888886,151,3,78.51685762405396
4,-215661.90024201875,441.74703384399413,0.8243482499999999,22.88325525201856,47.78761061946903,156,2,77.30825901031494
5,-211757.14028348925,463.58200149536134,0.824148,20.803712743605985,50.89285714285714,152,4,78.40036749839783
6,-164010.12205584964,450.4047607421875,0.825012,23.63352075440672,55.98290598290598,159,2,75.34640073776245
7,-230404.49800960216,477.81626983642576,0.82531575,20.80095734361178,50.23696682464455,150,3,77.80511379241943
8,-155739.03169428138,507.09236999511717,0.8250795,23.918627846441424,57.14285714285714,152,2,74.81581330299377
9,-205152.3185242117,541.9592555236817,0.8254597499999999,21.62756963360558,48.1651376146789,155,3,76.47563815116882
10,-253919.08537546726,578.3496334838867,0.8252257499999999,22.413743028077565,47.53363228699551,152,3,78.39895248413086
11,-192652.11021970655,607.6739291381836,0.8251222500000001,22.94524364934586,46.85990338164252,156,3,77.82636046409607
12,-254954.25607646964,632.2636451721191,0.8252437499999999,21.172857804473775,40.598290598290596,152,3,76.84924960136414
13,-160478.28320140316,662.9948608398438,0.82444275,23.03423248217202,53.04347826086957,151,2,74.16130185127258
14,-167314.07749859025,677.9950653076172,0.81886275,27.52275139604261,57.14285714285714,158,2,68.46656799316406
15,-215859.38683348676,710.072797241211,0.82512675,22.460040153038477,41.3953488372093,150,3,75.94600915908813
16,-184183.24676527907,729.2741781616211,0.8250795,23.36255676264135,55.895196506550214,152,2,78.13483119010925
17,-104483.88527077097,728.6329962158203,0.8193577499999999,27.047635110712054,47.78761061946903,152,3,70.5796205997467
18,-217063.01630680112,728.57318359375,0.8251357500000001,23.326593492072725,43.43891402714932,154,2,75.74134349822998
19,-290957.09896964167,729.0164138793946,0.82500075,22.318432762739203,43.86792452830189,153,3,76.59179449081421
20,-281290.0235119047,750.0046517944336,0.82502325,21.726590013111018,52.293577981651374,154,3,76.03789806365967
21,-184558.84410999806,767.2033209228516,0.8249602500000001,22.855088275553403,49.57627118644068,152,2,75.22409677505493
22,-250303.77334635938,793.032805480957,0.8252865,21.2320096960425,40.55299539170507,154,3,76.91145062446594
23,-196134.09768758272,805.5184268188476,0.8245192499999999,21.56984908589578,43.24324324324324,152,3,77.09757804870605
24,-191270.4898650478,816.644555053711,0.8248072499999999,21.98407747767973,48.837209302325576,150,2,77.78307914733887
25,-196472.91357461122,830.4591970825195,0.825174,23.172351767830314,58.333333333333336,156,2,75.88540434837341
26,-197698.3575328283,843.6826669311523,0.8254057499999999,23.013123411484997,23.728813559322035,152,3,78.47657322883606
27,-269965.7105801792,858.6189166259766,0.82386675,20.565307774537406,55.69620253164557,154,2,76.02893352508545
28,-235155.70664896103,870.5775927734375,0.8250434999999999,22.687756437127295,65.47085201793722,152,2,77.65104293823242
29,-203843.1176971926,879.0436508178711,0.8251762500000001,23.379687275251026,61.46788990825688,154,2,77.58570075035095
30,-244018.8271505464,889.434223022461,0.8249805000000001,23.67600733323404,64.0,150,2,77.56249189376831
31,-276645.05760307424,909.3650158691406,0.82517175,23.07245524656167,65.8119658119658,153,2,76.32587671279907
32,-245297.60547536734,905.3875811767579,0.8252842499999999,20.202319200839046,24.766355140186917,150,3,78.829425573349
33,-185888.44045807573,892.3512515258789,0.82350225,21.452433528578513,59.54545454545455,155,2,76.96630835533142
34,-220660.70409350013,889.988251953125,0.8253427499999999,23.074025189316263,48.401826484018265,152,3,77.2240138053894
35,-179997.73098329126,898.3342163085938,0.8251875,23.202743827592485,51.61290322580645,152,3,77.38249897956848
36,-202517.2401373056,913.3887380981446,0.8253899999999998,22.081832515306733,42.98642533936652,152,3,77.49966263771057
37,-203869.24476986838,908.477783203125,0.8252302499999999,22.958188277454507,61.46341463414634,154,2,76.87706708908081
38,-156277.65009434425,905.7475897216797,0.8252009999999999,24.17206924691678,64.40677966101694,154,2,75.22065281867981
39,-181670.20314051505,910.425869140625,0.82520775,23.071931406684026,60.633484162895925,152,2,73.59601736068726
40,-134902.71848550087,907.2156475830078,0.8193599999999998,26.63933773966284,45.58139534883721,154,3,68.69770050048828
41,-138438.84764087372,914.0976559448242,0.8252865,23.91954945269705,61.572052401746724,151,2,74.1437816619873
42,-262016.55324758423,909.8192889404297,0.8252685,22.622522607365063,45.20547945205479,152,3,74.73002910614014
43,-181739.25972654021,912.5452661132813,0.8249715000000001,25.050605362337595,57.268722466960355,154,2,74.18321967124939
44,-217411.27611100947,909.1735144042968,0.8252729999999999,25.641503811609713,55.50847457627118,150,3,73.36787939071655
45,-285330.0596994184,905.3842373657227,0.825264,21.685163106731444,48.372093023255815,152,2,76.06312274932861
46,-126331.85522865396,913.5508294677734,0.81879975,25.395173041118504,43.1924882629108,153,4,69.72285509109497
47,-180323.00212472634,917.0774664306641,0.8252347499999999,23.169551339897115,56.30630630630631,153,3,75.47269821166992
48,-167054.44186994983,918.0874655151367,0.82509075,23.705734842622768,65.0,151,2,75.02714991569519
49,-179251.10827071205,917.7032675170899,0.82518525,23.179325736930206,42.45283018867924,150,3,76.5484607219696
50,-217678.70475937845,919.0550311279297,0.8250255,21.534547076132853,45.412844036697244,150,3,76.91077947616577
51,-195989.88293483178,920.9292065429687,0.8250614999999999,22.802610391860835,52.01793721973094,153,3,75.77039003372192
52,-223000.7808457068,907.6951043701172,0.8254237499999999,21.701549525824536,32.870370370370374,152,3,77.96778559684753
53,-172195.4981348873,926.8406063842773,0.82467225,21.893197727081187,42.857142857142854,155,2,78.26213598251343
54,-226821.17831700598,934.217914428711,0.82404225,20.749890474893093,36.84210526315789,152,3,75.27803421020508
55,-148098.65333140138,911.9099597167968,0.825327,23.10113002071651,46.3963963963964,150,3,75.74896335601807
56,-214363.9392499699,927.3016333007813,0.8246902500000001,22.857016738114496,37.96296296296296,152,2,75.97386121749878
57,-199106.67716440876,930.7706646728516,0.8239815,21.568271718881473,44.24778761061947,152,2,78.66064310073853
58,-208012.66659878127,913.4756536865234,0.82448325,20.01634895850511,32.45614035087719,153,3,80.17423510551453
59,-256172.70185314512,912.8118139648437,0.8252099999999999,20.76976418873297,48.32535885167464,153,2,77.43604898452759
60,-139326.5312129502,931.2114801025391,0.8247285000000001,23.539098674518492,59.19282511210763,156,2,77.2145128250122
61,-192472.93700968716,920.082287902832,0.8249985000000001,24.54197443278542,61.76470588235294,152,2,73.95591139793396
62,-188462.86823912486,923.4463504028321,0.8253922499999998,22.755771133907906,56.03448275862068,150,3,80.92141270637512
63,-204485.45952350015,948.0985736083984,0.8253652499999999,22.6530181200137,57.826086956521735,155,2,79.8052430152893
64,-201878.75047376895,938.377484741211,0.825093,21.36156411935266,34.78260869565217,150,3,81.4259123802185
65,-172469.24007724336,942.5096774291992,0.8253112499999999,25.040198219838658,59.91189427312775,152,2,78.0320417881012
66,-125017.41020438276,931.1774896240235,0.8252504999999999,24.237388429859074,51.037344398340245,150,3,84.08226132392883
67,-141621.2380673075,932.4892767333985,0.8246744999999999,24.55659318699096,59.54545454545455,152,2,81.56051754951477
68,-244786.549027732,921.3721649169922,0.8252055,22.79870789330479,60.46511627906976,155,2,78.97009134292603
69,-251747.45454872283,927.7510360717773,0.82545075,22.972586978562727,43.63636363636363,158,3,81.8722653388977
70,-175804.28470388107,929.0703549194336,0.82483425,24.454377147966596,59.91379310344828,153,2,81.454336643219
71,-164201.76153650467,930.9169528198242,0.82530225,22.639889052704937,29.245283018867923,155,3,89.52226281166077
72,-246566.52764433142,926.4899212646484,0.8237924999999998,20.460363272954247,34.32203389830508,150,3,88.4349524974823
73,-191129.93653651926,940.751224975586,0.8250614999999999,22.645812657240484,44.15584415584416,154,3,86.94076538085938
74,-163779.87584101578,934.8484417724609,0.825138,24.985558376945793,58.36909871244635,155,2,81.73744320869446
75,-184954.43926891306,936.8319915771484,0.825444,22.55139809519152,28.57142857142857,151,6,86.12901568412781
76,-158453.94138596387,943.6252838134766,0.82447425,22.477891891786996,48.458149779735685,158,2,86.5008533000946
77,-158985.84124349253,954.3516458129883,0.8253539999999999,23.52827437731951,37.391304347826086,154,3,85.08749842643738
78,-213503.76717959656,955.6803558349609,0.82393425,21.864794969330998,55.348837209302324,156,2,93.46750140190125
