Link Utilization Statistics:
--------------------------------------------------------------------------------
      Link | Avg Util % | Max Util % | Min Util % |    Std Dev
--------------------------------------------------------------------------------
    [0, 1] |      40.88 |      58.00 |      26.00 |       6.19
    [0, 3] |      23.98 |      39.00 |      14.00 |       5.46
    [0, 6] |      25.21 |      38.00 |      13.00 |       5.42
   [0, 15] |      17.56 |      28.00 |      10.00 |       4.44
    [0, 2] |      12.75 |      21.00 |       5.00 |       3.67
   [0, 14] |      14.06 |      21.00 |       7.00 |       3.98
    [1, 2] |      25.88 |      42.00 |      14.00 |       5.87
    [1, 4] |      74.92 |      91.00 |      47.00 |       8.40
    [1, 6] |      49.00 |      65.00 |      30.00 |       7.52
    [1, 7] |      22.73 |      36.00 |      10.00 |       5.69
    [1, 9] |      26.44 |      36.00 |      16.00 |       4.71
   [1, 12] |      25.21 |      36.00 |      14.00 |       5.39
    [1, 5] |      36.75 |      54.00 |      25.00 |       6.96
    [2, 5] |      21.71 |      31.00 |      12.00 |       4.95
    [2, 8] |      32.40 |      45.00 |      16.00 |       6.80
    [3, 8] |      22.12 |      37.00 |      11.00 |       4.67
   [3, 15] |      14.48 |      22.00 |       8.00 |       3.86
   [3, 14] |      22.19 |      33.00 |      11.00 |       4.82
   [3, 12] |      32.48 |      50.00 |      15.00 |       6.62
   [4, 11] |      55.94 |      73.00 |      31.00 |       8.47
   [4, 13] |      31.46 |      50.00 |      19.00 |       6.14
   [4, 12] |      33.83 |      46.00 |      19.00 |       6.49
   [4, 16] |      22.69 |      33.00 |      11.00 |       5.86
   [5, 10] |      10.79 |      18.00 |       4.00 |       3.14
    [6, 7] |      30.77 |      47.00 |      19.00 |       7.04
   [6, 10] |      50.35 |      67.00 |      33.00 |       8.24
   [7, 13] |      46.15 |      65.00 |      31.00 |       7.32
   [7, 14] |      29.83 |      45.00 |      17.00 |       6.08
    [7, 8] |      41.96 |      58.00 |      26.00 |       7.08
    [8, 9] |      24.08 |      38.00 |      13.00 |       5.41
   [8, 15] |      25.75 |      36.00 |      14.00 |       5.09
   [8, 12] |      26.60 |      41.00 |      13.00 |       5.35
   [9, 12] |      10.42 |      20.00 |       0.00 |       3.62
  [12, 16] |      34.94 |      53.00 |      21.00 |       6.23
--------------------------------------------------------------------------------
Most utilized link: [1, 4] (Avg: 74.92%)
Least utilized link: [9, 12] (Avg: 10.42%)
